id,price,dprice
tin1967,15489.584,-0.08235766
tin1968,14770.092,-0.04645006
tin1969,15367.151,0.04042355
tin1970,15483.66,0.00758168
tin1971,14075.399,-0.09095141
tin1972,13740.834,-0.02376952
tin1973,15213.564,0.10717912
tin1974,21276.084,0.39849436
tin1975,16096.342,-0.24345374
tin1976,17540.549,0.08972269
tin1977,23112.428,0.31765705
tin1978,23700.02,0.0254232
tin1979,25490.115,0.0755314
tin1980,25165.789,-0.01272361
tin1981,21217.381,-0.15689586
tin1982,19809.414,-0.06635913
tin1983,20606.332,0.04022925
tin1984,19846.066,-0.03689476
tin1985,18916.744,-0.04682652
tin1986,8781.9922,-0.53575563
tin1987,8668.7754,-0.01289193
tin1988,8612.8467,-0.00645174
tin1989,10486.769,0.21757288
tin1990,7202.5859,-0.31317395
tin1991,6683.6846,-0.07204376
tin1992,7154.396,0.07042693
tin1993,5850.3525,-0.18227163
tin1994,6385.2656,0.09143262
tin1995,6614.6748,0.0359279
tin1996,6690.272,0.01142871
tin1997,6430.6611,-0.03880423
tin1998,6597.4868,0.02594223
tin1999,6560.7988,-0.0055609
tin2000,6685.3511,0.01898431
tin2001,5730.2236,-0.1428687
tin2002,5249.8042,-0.08383956
tin2003,6015.7983,0.14590909
tin2004,9796.6533,0.62848765
tin2005,8233.5293,-0.15955694
tin2006,9554.5479,0.16044378
tin2007,14905.518,0.56004429
tin2008,17612.988,0.18164217
tin2009,13769.177,-0.21823733
tin2010,19966.902,0.45011592
tin2011,22968.016,0.15030441
tin2012,18762.654,-0.18309641
tin2013,19876.762,0.05937899
tin2014,19800.914,-0.0038159
tin2015,16065.324,-0.18865745
tin2016,18661.602,0.16160753
tin2017,20170.15,0.08083705
tin2018,19367.402,1127.7104
tin2019,18355.754,-0.0522346
tin2020,16927.469,-0.07781131
tin2021,31508.037,0.86135548
tinLast,2021.0,2021.0
zinc0005,5485.3174,-0.04310023
zinc0010,1899.2957,0.02810016
zinc0015,2167.1443,-0.08306673
zinc0020,1666.9689,0.33518043
zinc1960,1258.433,
zinc1961,1074.5525,-0.14611863
zinc1962,915.16028,-0.14833358
zinc1963,1060.5131,0.15882768
zinc1964,1614.451,0.52233016
zinc1965,1524.4193,-0.05576616
zinc1966,1327.8384,-0.12895463
zinc1967,1279.8633,-0.03613022
zinc1968,1241.7905,-0.02974752
zinc1969,1284.1267,0.03409285
zinc1970,1246.8728,-0.02901108
zinc1971,1239.558,-0.00586653
zinc1972,1387.6621,0.1194814
zinc1973,2678.0503,0.92990088
zinc1974,3222.4607,0.2032861
zinc1975,1744.2488,-0.45872146
