countrycode,year,gpop_med,watp_1564_med
NPL,2058,0.002221688162535429,0.6845367305544137
NPL,2059,0.001976147759705782,0.6822233655197054
NPL,2060,0.001691572368144989,0.6795867016713596
NPL,2061,0.0014332971768453717,0.6766990632539078
NPL,2062,0.0012137007433921099,0.6737335249128846
NPL,2063,0.0009497006540186703,0.6706870979290775
NPL,2064,0.0006838793633505702,0.6674847418706815
NPL,2065,0.0004552873724605888,0.6641326372791992
NPL,2066,0.00021329225273802876,0.6606976625047969
NPL,2067,2.5698452645883663e-06,0.6571938054573472
NPL,2068,-0.00020812299044337124,0.6535642682857135
NPL,2069,-0.00043102214112877846,0.6498250328032049
NPL,2070,-0.0006885564653202891,0.6460573406526438
NPL,2071,-0.0009618813637644053,0.6423796774132813
NPL,2072,-0.0011579300044104457,0.6387633808250288
NPL,2073,-0.0013725386234000325,0.6351921240437346
NPL,2074,-0.001645775162614882,0.631721165575072
NPL,2075,-0.001863602316007018,0.6283204230075491
NPL,2076,-0.0020829266868531704,0.625055240702408
NPL,2077,-0.00231176451779902,0.6218869342802816
NPL,2078,-0.0025382405146956444,0.6187585555963725
NPL,2079,-0.002792256185784936,0.6157190786935893
NPL,2080,-0.0030147521756589413,0.6127557506707751
NPL,2081,-0.00320049119181931,0.6099325623620784
NPL,2082,-0.0033992172684520483,0.6073049498038575
NPL,2083,-0.0036193663254380226,0.6049191797391743
NPL,2084,-0.0038532703183591366,0.6027365862964804
NPL,2085,-0.004099191166460514,0.6005709881918537
NPL,2086,-0.004268113523721695,0.5983643547745618
NPL,2087,-0.004394386895000935,0.5961571597285514
NPL,2088,-0.004582773894071579,0.5940389987708617
NPL,2089,-0.004768377635627985,0.5921128875422411
NPL,2090,-0.0049130879342556,0.5903048361423732
NPL,2091,-0.005045009311288595,0.5885101621785176
NPL,2092,-0.005189023911952972,0.5867165132572175
NPL,2093,-0.005301494617015123,0.5849303874993875
NPL,2094,-0.005418258719146252,0.5831741385733383
NPL,2095,-0.005506925750523806,0.5814801112810731
NPL,2096,-0.0055789765901863575,0.5798630558755974
NPL,2097,-0.005700283218175173,0.5783065901814173
NPL,2098,-0.005786641966551542,0.576805308110173
NPL,2099,-0.005849302746355534,0.5753626409090431
NPL,2100,-0.005946327466517687,0.5739836221953372
NLD,2024,0.007500764913856983,0.6447827734021023
NLD,2025,0.006456628907471895,0.6419716682221589
NLD,2026,0.0055417646653950214,0.6387062653562021
NLD,2027,0.004825623705983162,0.6349717448203872
NLD,2028,0.00436417805030942,0.6309135015808366
NLD,2029,0.003935295157134533,0.6267122464141724
NLD,2030,0.003455515718087554,0.6226094468065279
NLD,2031,0.0030207750387489796,0.618787603218875
NLD,2032,0.0026433139573782682,0.6152377994833003
NLD,2033,0.0023539154790341854,0.611750251226755
NLD,2034,0.0020058441441506147,0.6080828156278977
NLD,2035,0.001643834519200027,0.6044572235367717
NLD,2036,0.0014315772568807006,0.601686481274645
NLD,2037,0.0011584728490561247,0.5996796584565239
NLD,2038,0.0008771250140853226,0.5981342431143695
NLD,2039,0.0006375025841407478,0.5972382748246587
NLD,2040,0.00039744595414958894,0.596967693880858
NLD,2041,0.00016596235218457878,0.59708938570546
NLD,2042,-6.671732990071177e-05,0.5973892826467522
NLD,2043,-0.0002313946606591344,0.5977520012104637
NLD,2044,-0.00040920282481238246,0.5980994470800044
NLD,2045,-0.0005612862878479064,0.5983223535983624
NLD,2046,-0.0006006958428770304,0.5984813988861746
NLD,2047,-0.0007499708444811404,0.5987746126698958
NLD,2048,-0.0009228462004102767,0.5991074404568831
NLD,2049,-0.0010147402063012123,0.5992684460900828
NLD,2050,-0.0011064386926591396,0.5991798390957079
NLD,2051,-0.0012719550868496299,0.5988022367676064
NLD,2052,-0.0013349192449823022,0.5981712683886826
NLD,2053,-0.001312715234234929,0.5973984700845056
NLD,2054,-0.001384381321258843,0.5964263849018568
