Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
"Macao SAR, China",MAC,East Asia & Pacific,High income,0.9913992285728455,12.903066635131836,560.613525390625,11.573814392089844,-,0.9604228734970093,0.7895967364311218,0.7956715822219849,0.8014585971832275
Madagascar,MDG,Sub-Saharan Africa,Low income,0.9464327096939087,8.398303031921387,350.7733154296875,4.713440895080566,0.58372962474823,0.7967065572738647,0.37471452355384827,0.3919910192489624,0.408600389957428
Malawi,MWI,Sub-Saharan Africa,Low income,0.950332522392273,9.572142601013184,359.48406982421875,5.50565242767334,0.6100856065750122,0.737675130367279,0.3953009247779846,0.4132406413555145,0.42922836542129517
Malaysia,MYS,East Asia & Pacific,Upper middle income,0.9922244548797607,12.466032981872559,445.6753234863281,8.88928508758545,0.7929999828338623,0.8770209550857544,0.6010172963142395,0.6109761595726013,0.6207301616668701
Mali,MLI,Sub-Saharan Africa,Low income,0.9022251963615417,5.242938995361328,307.3649597167969,2.5783932209014893,0.7310925126075745,0.7499744892120361,0.3068152368068695,0.3182695806026459,0.3287631571292877
Malta,MLT,Middle East & North Africa,High income,0.9929807782173157,13.42784595489502,474.43499755859375,10.193023681640625,-,0.9510608315467834,0.7025405168533325,0.7092483043670654,0.7156825065612793
"Marshall Islands, Rep.",MHL,East Asia & Pacific,Upper middle income,0.9668617248535156,9.431733131408691,375.0296936035156,5.659488201141357,0.6521979570388794,0.6991643309593201,0.40398937463760376,0.42339813709259033,0.44079652428627014
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,0.9243257641792297,7.73077392578125,342.09356689453125,4.231436729431152,0.7716919779777527,0.8046591281890869,0.3451712429523468,0.3815460801124573,0.40588662028312683
Mauritius,MUS,Sub-Saharan Africa,High income,0.9844964742660522,12.434402465820312,472.7672119140625,9.40572452545166,-,0.8592610359191895,0.6049887537956238,0.6218592524528503,0.6395822167396545
Mexico,MEX,Latin America & Caribbean,Upper middle income,0.9872698187828064,12.824007987976074,430.06512451171875,8.824254035949707,0.8997297883033752,0.8614773750305176,0.6045781970024109,0.6129498481750488,0.621053159236908
