income_group,country,countrycode,delta,labor_share,ky_ratio,hc_growth,tfp_growth,lfp,lfp_male,lfp_female,gdppc,gdp_pc_level,inv_gdp,inv_gdp_weo,gdp_growth,gdppc_growth,gns_gdp,cab_gdp,fdi_gdp,debt_gdp,poverty_215,poverty_365,poverty_685,gini,pop_growth_2024,pop_growth_2030,watp_2024,watp_2030
Low income,"Congo, Dem. Rep.",COD,0.03656943142414093,0.5202069878578186,2.905196189880371,0.0094114039093256,0.0005836357595399022,0.65888,0.68644,0.63195,640.0,499.0318908691406,0.1217230036854744,0.15549665689468384,0.05367238447070122,0.020470989868044853,-0.048025161027908325,-0.03534989431500435,0.028559857979416847,0.16516083478927612,0.853,0.925,0.98,0.447,0.032425761222839355,0.029770459979772568,0.508914513636216,0.5181699194708982
Lower middle income,"Congo, Rep.",COG,0.037063825875520706,0.4958328306674957,7.914841651916504,0.0035157203674316406,0.0022091122809797525,0.6884600000000001,0.70461,0.6723699999999999,2410.0,1792.30712890625,0.4331338703632355,0.2684583365917206,-0.015204316936433315,-0.03932088240981102,-0.03698156401515007,-0.06864121556282043,0.08799996227025986,0.5077428221702576,0.392,0.55,0.8240000000000001,0.489,0.023982908576726913,0.023031245917081833,0.565686098493264,0.5886850611687996
High income,Costa Rica,CRI,0.04973670467734337,0.5306888818740845,3.240316152572632,0.004326967988163233,0.009032174944877625,0.6396200000000001,0.77204,0.50866,15620.0,12734.9931640625,0.18071222305297852,0.15878166258335114,0.03368615731596947,0.0263515617698431,-0.03505672141909599,-0.02362762950360775,0.048733100295066833,0.4511681795120239,0.013000000000000001,0.026000000000000002,0.126,0.45799999999999996,0.004764828365296125,0.0033601110335439444,0.6897556682280976,0.6854191943191812
High income,Croatia,HRV,0.04858967289328575,0.6126156449317932,5.207458972930908,0.013289855793118477,-0.0025389976799488068,0.69978,0.73397,0.6653199999999999,22080.0,13783.7783203125,0.20138370990753174,0.23346666991710663,0.03208969160914421,0.04040638729929924,0.007384289521723986,0.009138800203800201,0.04081442207098007,,0.004,0.006,0.024,0.3,-0.005326759070158005,-0.006373758893460035,0.6288902221104037,0.6158728262882572
Upper middle income,Cuba,CUB,0.04398830607533455,0.4845505356788635,4.414557456970215,0.00804363377392292,0.0014869102742522955,0.635,0.77422,0.49571,,,0.24559888243675232,,-0.0020348893012851477,0.0006137261516414583,,,,,,,,,-0.0036498697008937597,-0.004668073728680611,0.6813697046653837,0.6539697604539165
High income,Curaçao,CUW,0.04230361059308052,0.6787683367729187,5.107937335968018,0.005804792046546936,0.001797617063857615,,,,,,0.20726224780082703,,-0.01314197015017271,-0.013064264319837093,,-0.21748434007167816,0.053355418145656586,,,,,,0.00029656870174221694,-0.0013246933231130242,0.6829036858123316,0.6754262804645462
High income,Cyprus,CYP,0.035501185804605484,0.536577582359314,6.760497570037842,0.0073450771160423756,0.0038411756977438927,0.79879,0.8415699999999999,0.75425,32980.0,23927.515625,0.15106597542762756,0.21556499600410461,0.04769716411828995,0.03793217986822128,-0.051430828869342804,-0.06029965355992317,0.9304482936859131,,0.0,0.0,0.0,0.315,0.009844496846199036,0.006331529933959246,0.6931163778950175,0.6782026516582971
High income,Czechia,CZE,0.05270596593618393,0.5115020871162415,5.894139289855957,0.002427496016025543,0.009856604039669037,0.77215,0.83029,0.7112999999999999,29140.0,24390.123046875,0.2153552770614624,0.25419166684150696,0.02109217457473278,0.01775829680263996,-0.005765913985669613,0.0012003144947811961,0.03703410178422928,,0.0,0.001,0.006,0.259,-0.006855912506580353,-0.0027594270650297403,0.6375732021070694,0.6349084405898118
Lower middle income,Côte d’Ivoire,CIV,0.057065460830926895,0.33192017674446106,2.483701467514038,0.00961074698716402,0.004810140002518892,0.6778400000000001,0.74996,0.6022500000000001,2510.0,2326.3271484375,0.20400571823120117,0.30684998631477356,0.05801516771316528,0.0316263847053051,0.0011923449346795678,-0.030145563185214996,0.015661470592021942,0.459040105342865,0.209,0.41700000000000004,0.809,0.353,0.02436182089149952,0.022473426535725594,0.5651967183802459,0.5881815500794586
High income,Denmark,DNK,0.0452512763440609,0.6011828184127808,5.019566059112549,0.004884965717792511,0.001797617063857615,0.80913,0.8318000000000001,0.78602,73790.0,65758.4375,0.17311862111091614,0.23005832731723785,0.024589283391833305,0.018847540020942688,0.07238747179508209,0.08637601137161255,0.023097263649106026,,0.002,0.003,0.008,0.293,0.00490980502218008,0.0018731787567958236,0.634375462156532,0.6184923696911951
