countrycode,country_name,kg_kp_ratio,kg_k_share,kg_kp_fad,kg_k_fad,iei,pimi,efficiency_pimi,ig_i_20yr,ig_i_15yr,ig_i_10yr,ig_i_5yr,ig_i_current,ip_y,i_y,ig_y
FJI,Fiji,0.37681639194488525,0.2736867368221283,0.9755079746246338,0.493801087141037,0.7713719606399536,0.48249998688697815,,0.21800166368484497,0.22115188837051392,0.24410274624824524,0.28034040331840515,0.22474358975887299,,,
FIN,Finland,0.3008918762207031,0.2312966138124466,0.3082796335220337,0.23563741147518158,0.8708469867706299,1.0,,0.17178809642791748,0.17089395225048065,0.17740240693092346,0.17817483842372894,0.18095912039279938,,0.21460931718499,
FRA,France,0.31494998931884766,0.2395148128271103,0.3313969373703003,0.24890920519828796,0.8708469867706299,1.0,,0.1750093251466751,0.17104403674602509,0.16613203287124634,0.15365707874298096,0.15390120446681976,,0.22320927162682097,
PYF,French Polynesia,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
GAB,Gabon,0.40869638323783875,0.2901238203048706,0.49986958503723145,0.33327537775039673,0.6603193283081055,0.23999999463558197,,0.1886049062013626,0.20731186866760254,0.2253914773464203,0.10193146020174026,0.09050654619932175,0.15593264007120272,0.18116326577086025,0.02523062378168106
GMB,"Gambia, The",0.7922703623771667,0.44204846024513245,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.22750000655651093,,0.38259804248809814,0.36818042397499084,0.39050960540771484,0.40031927824020386,0.4589250683784485,0.21074524934532987,0.38985186841123515,0.17910662293434143
GEO,Georgia,0.6068536043167114,0.37766575813293457,0.2680424451828003,0.21138286590576172,0.8055390119552612,0.43891170620918274,,0.23894275724887848,0.29286184906959534,0.27417054772377014,0.23490044474601746,0.3011542558670044,,0.22049348003019098,
DEU,Germany,0.20639102160930634,0.17108136415481567,0.2237556278705597,0.1828433871269226,0.8708469867706299,1.0,,0.10955983400344849,0.10972803831100464,0.11049626767635345,0.10937260836362839,0.11212319135665894,,0.2085704463841905,
GHA,Ghana,0.18261651694774628,0.15441736578941345,0.17824789881706238,0.1512821763753891,0.6286807656288147,0.4675000011920929,,0.1258178949356079,0.12904314696788788,0.1268138587474823,0.10981359332799911,0.08987873792648315,,0.09796417459118104,
GIB,Gibraltar,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
GRC,Greece,0.44570115208625793,0.3082941174507141,0.24758221209049225,0.19844961166381836,0.8708469867706299,1.0,,0.2579616606235504,0.269224613904953,0.2888827621936798,0.3218230605125427,0.23865880072116852,,0.15275177920484642,
GRL,Greenland,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
GRD,Grenada,0.5001595616340637,0.3334042429924011,0.7067633867263794,0.4140956997871399,0.7713719606399536,0.48249998688697815,,0.2768206298351288,0.2742374539375305,0.26907113194465637,0.20966455340385437,0.12957990169525146,,,
GUM,Guam,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
GTM,Guatemala,0.27066177129745483,0.21300852298736572,0.33346956968307495,0.25007662177085876,0.7713719606399536,0.4441532790660858,,0.1525462567806244,0.13865135610103607,0.12018666416406631,0.08841767907142639,0.10688698291778564,0.15029568622880535,0.1611382964264114,0.010842610150575638
GIN,Guinea,0.6925472617149353,0.4091745615005493,1.0582019090652466,0.5141390562057495,0.688909649848938,0.2824999988079071,,0.3501744866371155,0.3812192380428314,0.4752028286457062,0.3905757963657379,0.21061290800571442,,0.32130212937439856,
GNB,Guinea-Bissau,3.121829032897949,0.75738924741745,4.598345756530762,0.8213757872581482,0.6186082363128662,0.35455265641212463,,0.5638634562492371,0.5808654427528381,0.5975982546806335,0.6614930629730225,0.5509034395217896,,0.22831874870619331,
GUY,Guyana,1.444382905960083,0.5908988118171692,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.4432256519794464,,0.5910878777503967,0.5729780793190002,0.5150516033172607,0.4805341064929962,0.5355339050292969,,,
HTI,Haiti,0.5688773393630981,0.36260151863098145,0.30014607310295105,0.23085565865039825,0.688909649848938,0.26750001311302185,,0.336681067943573,0.3832484185695648,0.3693520128726959,0.2702893912792206,0.13149087131023407,0.08778623056186313,0.09939361936566589,0.011607388034462929
HND,Honduras,0.37189021706581116,0.2710787057876587,0.3706134259700775,0.27039968967437744,0.6029811501502991,0.4292669892311096,,0.16226321458816528,0.14753152430057526,0.14560139179229736,0.14902378618717194,0.16190223395824432,0.2025002233953528,0.23926501080885643,0.03676478564739227
HKG,"Hong Kong SAR, China",0.31910911202430725,0.2419126033782959,0.30934464931488037,0.23625914752483368,0.8708469867706299,1.0,,0.19766630232334137,0.1971302479505539,0.22611960768699646,0.25249671936035156,0.2661818861961365,0.10035401400003083,0.1620973039600654,0.06174328923225403
HUN,Hungary,0.2870287001132965,0.22301656007766724,0.32298409938812256,0.24413134157657623,0.7610706686973572,0.5258157849311829,,0.18938393890857697,0.1976865530014038,0.2107924520969391,0.22280770540237427,0.22254864871501923,,0.23378509176325984,
ISL,Iceland,0.30127182602882385,0.23152105510234833,0.324952095746994,0.2452557235956192,0.8708469867706299,1.0,,0.1762574166059494,0.16386590898036957,0.16055604815483093,0.13855089247226715,0.15710462629795074,,0.26412419220002864,
